[Year],[State],[S&E Fields],[SEH Fields],[Public or Private],[Sex],[Citizenship],[Graduate Students]
2018,Pennsylvania,Science and engineering,Engineering,Public,Male,Foreign nationals,"1,153"
2018,Pennsylvania,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),417
2018,Pennsylvania,Science and engineering,Engineering,Public,Female,Foreign nationals,352
2018,Pennsylvania,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,433"
2018,Pennsylvania,Science and engineering,Engineering,Private,Male,Foreign nationals,"1,934"
2018,Pennsylvania,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),622
2018,Pennsylvania,Science and engineering,Engineering,Private,Female,Foreign nationals,752
2018,New York,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,600"
2018,New York,Science and engineering,Science,Public,Male,Foreign nationals,"3,040"
2018,New York,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,906"
2018,New York,Science and engineering,Science,Public,Female,Foreign nationals,"1,891"
2018,New York,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"6,828"
2018,New York,Science and engineering,Science,Private,Male,Foreign nationals,"7,034"
2018,New York,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"8,396"
2018,New York,Science and engineering,Science,Private,Female,Foreign nationals,"6,114"
2018,New York,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),959
2018,New York,Science and engineering,Engineering,Public,Male,Foreign nationals,"1,498"
2018,New York,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),291
2018,New York,Science and engineering,Engineering,Public,Female,Foreign nationals,549
2018,New York,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,279"
2018,New York,Science and engineering,Engineering,Private,Male,Foreign nationals,"3,864"
2018,New York,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),802
